epoch,step,batch_loss,running_avg_loss
1,0,26.575057983398438,26.575057983398438
1,20,17.428726196289062,21.56801010313488
1,40,22.744461059570312,20.200530494131694
1,60,18.282821655273438,20.142997679163198
1,80,16.869647979736328,19.883319666356215
1,100,14.817012786865234,19.82040768802756
1,120,15.298598289489746,19.466761628458322
1,140,13.693400382995605,19.265976763786153
1,160,16.763986587524414,19.080219262875385
1,180,17.226274490356445,18.767613421487546
1,200,16.149906158447266,18.55069282873353
1,220,19.35403823852539,18.256240965554078
1,240,15.661577224731445,18.005664762124976
2,0,12.69365119934082,12.69365119934082
2,20,18.015886306762695,14.782010850452242
2,40,11.243818283081055,14.160210586175687
2,60,10.259977340698242,14.218830093008574
2,80,12.34937858581543,14.063696661113221
2,100,13.335041046142578,13.950926657950523
2,120,8.347081184387207,13.74896415994187
2,140,12.57487964630127,13.649064638935927
2,160,13.847816467285156,13.55477936371513
2,180,18.471452713012695,13.44696658487478
2,200,12.30650520324707,13.4167981432445
2,220,14.322304725646973,13.236112601077394
2,240,17.28787612915039,13.171151103815102
3,0,12.963193893432617,12.963193893432617
3,20,14.674602508544922,12.053447087605795
3,40,8.872751235961914,12.197235433066764
3,60,7.381239414215088,11.611433130795838
3,80,6.98428201675415,11.530973563959568
3,100,8.03682804107666,11.57906165925583
3,120,9.331064224243164,11.574706700222551
3,140,13.28431510925293,11.572228276137764
3,160,8.30788803100586,11.43328078489126
3,180,9.932282447814941,11.42806995244316
3,200,13.465055465698242,11.45835071060788
3,220,11.333656311035156,11.391546426315653
3,240,11.553560256958008,11.340408542838828
4,0,10.566587448120117,10.566587448120117
4,20,7.050768852233887,10.390302794320244
4,40,11.733915328979492,10.611750288707453
4,60,13.318568229675293,10.787988115529545
4,80,12.332927703857422,10.777865456946103
4,100,8.473419189453125,10.97461764647229
4,120,7.672156810760498,10.876783784755991
4,140,8.197444915771484,10.849857397958742
4,160,10.522533416748047,10.952182435100864
4,180,11.02375602722168,10.985093659458897
4,200,12.350961685180664,11.07190787377049
4,220,13.279451370239258,11.14258452022777
4,240,18.49072265625,11.160223788740229
5,0,13.527507781982422,13.527507781982422
5,20,7.996625900268555,11.777555965241932
5,40,9.853231430053711,11.176735680277755
5,60,7.838944435119629,11.117035834515681
