epoch,lr,train_loss_avg,val_loss,val_mae,val_rmse,epoch_time_sec,gpu_mem_peak_mb
1,5e-05,17.837519649401713,15.039928293863932,15.039928436279297,19.33001329700784,35.56172299385071,2989.80712890625
2,4.980286753286195e-05,13.046428281509458,11.84164970143636,11.84164810180664,16.10053425725807,35.69295692443848,2989.80712890625
3,4.9214579028215776e-05,11.326890077108539,11.286655741373698,11.286656379699707,15.230632052215066,35.84900689125061,2989.80712890625
4,4.8244412147206284e-05,11.102616454840634,11.288644625345865,11.28864574432373,15.24931809198391,35.94858241081238,2989.80712890625
5,4.690766700109659e-05,11.061458160905058,11.24447209294637,11.244471549987793,15.216395139134415,36.03589200973511,2989.80712890625
6,4.522542485937369e-05,11.076868328139012,11.2087615331014,11.208762168884277,15.11524636277629,36.11342740058899,2989.80712890625
7,4.3224215685535294e-05,11.059285063687929,11.154674868265788,11.154674530029297,14.973683987523014,35.9706244468689,2989.80712890625
8,4.093559974371725e-05,11.020064552470403,11.142101130167644,11.142101287841797,14.964917164072077,36.0372371673584,2989.80712890625
9,3.8395669874474915e-05,11.009937694564403,11.109881708780925,11.109882354736328,14.883624485723605,35.98722696304321,2989.80712890625
10,3.5644482289126814e-05,10.999753681138332,11.124094629923503,11.12409496307373,14.826176377658715,35.92765974998474,2989.80712890625
11,3.2725424859373684e-05,10.961216299450351,11.148929069519044,11.148929595947266,15.049612269682347,35.937583446502686,2989.80712890625
12,2.968453286464312e-05,10.980485042245471,11.120285903930665,11.120285987854004,15.018157142116754,35.962780475616455,2989.80712890625
13,2.656976298823284e-05,10.94635998692494,11.177048906962076,11.177047729492188,15.136336688726642,35.95397210121155,2989.80712890625
14,2.3430237011767167e-05,10.89157825499657,10.93395252609253,10.933953285217285,14.649730672085697,35.91132640838623,2989.80712890625
15,2.0315467135356887e-05,10.845160630890367,10.923676579793295,10.923675537109375,14.588563050382994,35.94250416755676,2989.80712890625
16,1.7274575140626325e-05,10.765794429333758,10.92729163614909,10.927291870117188,14.499573273792244,35.98166847229004,2989.80712890625
17,1.4355517710873185e-05,10.69709851491312,10.813804484049479,10.813803672790527,14.518204935050779,35.979589223861694,2989.80712890625
18,1.1604330125525079e-05,10.658133608821766,10.7148022925059,10.714801788330078,14.406145140955148,35.96482229232788,2989.80712890625
19,9.064400256282757e-06,10.583374748897924,10.750216870625813,10.75021743774414,14.489954658684828,35.89763140678406,2989.80712890625
20,6.775784314464717e-06,10.540553723791694,10.722606334050496,10.72260570526123,14.385629986123522,35.93497681617737,2989.80712890625
21,4.774575140626317e-06,10.458492748468302,10.663993459065756,10.663992881774902,14.284166034178972,36.03296661376953,2989.80712890625
22,3.092332998903411e-06,10.408513171199695,10.644144323984781,10.644144058227539,14.3047296345297,35.85879111289978,2989.80712890625
23,1.7555878527937166e-06,10.423565781070101,10.634032491048178,10.634032249450684,14.228487608285732,35.93246555328369,2989.80712890625
24,7.85420971784226e-07,10.370800712229213,10.629392684936523,10.629393577575684,14.237289917478535,35.95853042602539,2989.80712890625
25,1.971324671380559e-07,10.35385555794267,10.627905304590861,10.627904891967773,14.255667111707004,35.977046728134155,2989.80712890625
