bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,22.32181739807129
"[10, 20)",10.0,20.0,147,11.666374206542969
"[20, 30)",20.0,30.0,579,3.6664247512817383
"[30, 40)",30.0,40.0,465,5.524236679077148
"[40, 50)",40.0,50.0,244,15.304899215698242
"[50, 60)",50.0,60.0,146,24.91277503967285
"[60, 70)",60.0,70.0,104,34.654056549072266
"[70, inf)",70.0,inf,71,47.806419372558594
